name,address,city,state,zip,full_address,farm_type,produce,phone,website,distance,hours
Greenfield Berry Farm,2485 Major Rd.,Peninsula,OH,,"2485 Major Rd., Peninsula, Ohio 44264","U-Pick Farm, Orchard","Blueberries, Pumpkins, Raspberries, Strawberries",,,,
Greg’s U-Pick Farm,9270 Lapp Road,Clarence Center,NY,,"9270 Lapp Road, Clarence Center, New York 14032","U-Pick Farm, Orchard","Blueberries, Pumpkins, Raspberries, Strawberries",,,,
Gregg Farms,5634 Concord Rd,Concord,GA,,"5634 Concord Rd, Concord, Georgia 30206","U-Pick Farm, Orchard",Peaches,,,,
Gregg L. Friedman MD Farms,24800 SW 187th Ave,Homestead,,,"24800 SW 187th Ave, Homestead, 1007 33031","U-Pick Farm, Orchard","Green Beans, Oranges, Strawberries, Tomatoes",,,,
Greig Farm,,,,,,"U-Pick Farm, Orchard","Apples, Blackberries, Blueberries, Pumpkins, Strawberries",,,,
Griffin Berry Farm,2394 Moore Rd,Beaumont,TX,,"2394 Moore Rd, Beaumont, Texas 77713","U-Pick Farm, Orchard","Blueberries, Kumquats, Muscadines, Pears, Satsumas",,,,
Hafner’s U Pick,,,,,,"U-Pick Farm, Orchard","Blueberries, Pumpkins, Strawberries",,,,
Hallock’s U-Pick Farm,38 Fischer Rd,New Egypt,NJ,,"38 Fischer Rd, New Egypt, New Jersey 08533","U-Pick Farm, Orchard",Vegetables,,,,
Hansen Farms,33796 S Finley Point Rd,Polson,MT,59860,"33796 S Finley Point Rd, Polson, MT 59860","U-Pick Farm, Orchard",Cherries,,,,
Hanulcik Farm Market,1425 N. State Rd.,Ionia,MI,,"1425 N. State Rd., Ionia, Michigan 48846",,"Apples, Peaches, Plums, Strawberries",,,,
Happy Acres Farm,210 Wright Rd.,Roanoke Rapids,NC,27870,"210 Wright Rd., Roanoke Rapids, NC 27870","Farm MarketPetting ZooPicnic AreaPlaygroundSchool Field TripsU-Pick Farm, Orchard","Blackberries, Blueberries, Strawberries",,,,
Happy Apple Farm,1190 1st Street,Penrose,CO,,"1190 1st Street, Penrose, Colorado 81240","U-Pick Farm, Orchard","Apples, Blackberries, Pumpkins, Raspberries",,,,
Happy Valley Farm,29080 West 95th Street,De Soto,KS,,"29080 West 95th Street, De Soto, Kansas 66018","U-Pick Farm, Orchard","Blackberries, Blueberries, Bush Cherries, Gooseberries, Grapes, Raspberries",,,,
Harmony Farms,359 Saw Mill Road,Harmony,RI,,"359 Saw Mill Road, Harmony, Rhode Island 02857","U-Pick Farm, Orchard","Blackberries, Blueberries, Peaches, Raspberries",,,,
Harris Heritage Growers,27811 S. Sonoita Hwy,Wonaita,AZ,,"27811 S. Sonoita Hwy, Wonaita, Arizona 85637","U-Pick Farm, Orchard",Vegetables,,,,
Hartland Orchard,3064 Hartland Lane,Markham,VA,,"3064 Hartland Lane, Markham, Virginia 22643","U-Pick Farm, Orchard","Apples, Blueberries, Cherries, Peaches, Pumpkins, Raspberries",,,,
Harvold Berry Farm,5207 Carnation-Duvall Rd NE,Carnation,WA,,"5207 Carnation-Duvall Rd NE, Carnation, Washington 98014","U-Pick Farm, Orchard","Raspberries, Strawberries",,,,
Hatch’s blue,329 SW Elim Church Rd,Branford,FL,,"329 SW Elim Church Rd, Branford, Florida 32008","U-Pick Farm, Orchard",Blueberries,,,,
Hay Berry Farm,,,,,,"U-Pick Farm, Orchard","Blueberries, Flowers, Herbs, Lavender, Pumpkins",,,,
Hays Honey & Apple Farm,400 Esperanza Dr,Bosque Farms,NM,,"400 Esperanza Dr, Bosque Farms, New Mexico 87068","U-Pick Farm, Orchard",Apples,,,,
Hazelton Orchards,20 Harantis Lake Rd.,Chester,NH,,"20 Harantis Lake Rd., Chester, New Hampshire 03036","U-Pick Farm, Orchard","Apples, Peaches",,,,
Hazen’s Farm,1144 Peavy Rd.,Howell,MI,,"1144 Peavy Rd., Howell, Michigan 48843","U-Pick Farm, Orchard","Blueberries, Peaches, Raspberries",,,,
Heads Farm,3422 Kinneys Rd,Cedar Hill,TN,37032,"3422 Kinneys Rd, Cedar Hill, TN 37032","U-Pick Farm, Orchard","Pumpkins, Strawberries",,,,
Heart of Texas Farms,,,,,,"School Field TripsU-Pick Farm, Orchard",Blackberries,,,,
Heartland Farms,5111 Osage Rd,Waterloo,IA,,"5111 Osage Rd, Waterloo, Iowa 50703","U-Pick Farm, Orchard",Strawberries,,,,
Hebda Family Produce,,,,,,"U-Pick Farm, Orchard","Apples, Elderberries, Raspberries, Strawberries",,,,
Heider’s Berry Farm,1106 N. Queen Anne Rd,Woodstock,IL,60098,"1106 N. Queen Anne Rd, Woodstock, IL 60098","U-Pick Farm, Orchard","Black Raspberries, Blackberries, Red Raspberries, Rhubarb, Strawberries",,,,
Heidi’s Raspberry Farm,600 Andrew's Lane,Corrales,NM,,"600 Andrew's Lane, Corrales, New Mexico 87048","U-Pick Farm, Orchard",Raspberries,,,,
Henley Farms,3484 Charity Neck Road,Virginia Beach,VA,,"3484 Charity Neck Road, Virginia Beach, Virginia 23456","U-Pick Farm, Orchard","Blackberries, Strawberries, Vegetables",,,,
Henscratch Farms,980 Henscratch Rd,Lake Placid,FL,,"980 Henscratch Rd, Lake Placid, Florida 33852","U-Pick Farm, Orchard","Blueberries, Grapes, Strawberries",,,,
Herman’s Farm,,,,,,"U-Pick Farm, Orchard","Apples, Blackberries, Peaches, Pumpkins, Tomatoes",,,,
Herndon Hills Farm,7110 Massey Chapel Rd/Barbee Rd,Durham,NC,,"7110 Massey Chapel Rd/Barbee Rd, Durham, North Carolina 27713","U-Pick Farm, Orchard","Blackberries, Blueberries, Muscadines",,,,
Herot Hall Farms,1593 Emma Road,Kenna,VA,,"1593 Emma Road, Kenna, West Virginia 25248","U-Pick Farm, Orchard",Blueberries,,,,
Herzog Berries,29917 Twin Pine Road,Underwood,MN,,"29917 Twin Pine Road, Underwood, Minnesota 56586","U-Pick Farm, Orchard",Strawberries,,,,
Hidden Hollow Orchard,3200 Apple Hill Road,Louisville,KY,,"3200 Apple Hill Road, Louisville, Kentucky 40245","U-Pick Farm, Orchard",Apples,,,,
High Altitude Rhubarb–Organic Farm & Nusery,7275 Wildridge Rd,Black Forest,CO,80908,"7275 Wildridge Rd, Black Forest, CO 80908","Honey BeesPicnic AreaU-Pick Farm, Orchard","Horseraddish, Rhubarb",,,,
High Springs Orchard & Bakery,10804 NW State Road 45,High Springs,FL,,"10804 NW State Road 45, High Springs, Florida 32643","U-Pick Farm, Orchard","Blueberries, Chestnuts, Figs, Grapes, Pears, Persimmons",,,,
Hill Orchards,86 Winsor Ave,Johnston,RI,,"86 Winsor Ave, Johnston, Rhode Island 02919","U-Pick Farm, Orchard","Apples, Plums",,,,
Hillcrest Blueberry Farm,766 Ferguson Road,Gloster,LA,,"766 Ferguson Road, Gloster, Louisiana 71030","U-Pick Farm, Orchard","Blackberries, Blueberries",,,,
Hillcrest Orchards,50336 Telegraph Road,Amherst,OH,,"50336 Telegraph Road, Amherst, Ohio 44001","U-Pick Farm, Orchard","Apples, Pumpkins",,,,
Hillcrest Orchards,9696 Hwy 52 East,Ellijay,,,"9696 Hwy 52 East, Ellijay, 1008 30536","U-Pick Farm, Orchard",Apples,,,,
Hillside Orchard,2024 Ashland Road,Ceresco,NE,,"2024 Ashland Road, Ceresco, Nebraska 68017","U-Pick Farm, Orchard","Apples, Peaches, Pumpkins, Raspberries",,,,
Hillside Orchard Farms,18 Sorghum Mill Dr,Lakemont,GA,,"18 Sorghum Mill Dr, Lakemont, Georgia 30552","U-Pick Farm, Orchard",Apples,,,,
Hinton’s Orchard & Farm Market,8631 Campbellsville Road,Hodgenville,KY,,"8631 Campbellsville Road, Hodgenville, Kentucky 42748","U-Pick Farm, Orchard","Pumpkins, Strawberries",,,,
Historic Weston Orchard and Vineyard,18545 County Rd H,Weston,MO,64098,"18545 County Rd H, Weston, MO 64098","BakeryCorn MazeFarm MarketFestivalHoney BeesPetting ZooPicnic AreaPlaygroundSchool Field TripsU-Pick Farm, OrchardWedding VenueWinery","Apples, Blackberries, Cherries, Grapes, Peaches, Pumpkins, Strawberries, Tomatoes, Vegetables, Watermelons",,,,
Hockaday Orchards,45 Hockaday Lane,Lakeside,MT,,"45 Hockaday Lane, Lakeside, Montana 59922","U-Pick Farm, Orchard",Cherries,,,,
Holland Bottom Farm,1255 Bill Foster Memorial Hwy (Ark State 321),Cabot,AR,,"1255 Bill Foster Memorial Hwy (Ark State 321), Cabot, Arkansas 72023","U-Pick Farm, Orchard",Strawberries,,,,
Hollin Farms,1410 Snowden Rd.,Delaplane,VA,20144,"1410 Snowden Rd., Delaplane , VA 20144","U-Pick Farm, Orchard",Squash,,,,
Holmestead Farm U-Pick,6582 Clay County Road 7,Talladega,,,"6582 Clay County Road 7, Talladega, 999 35160","U-Pick Farm, Orchard","Blackberries, Blueberries, Strawberries",,,,
Homestead Farm,15604 Sugarland Road,Poolesville,MD,,"15604 Sugarland Road, Poolesville, Maryland 20837","U-Pick Farm, Orchard","Apples, Blackberries, Blueberries, Cherries, Peaches, Pumpkins, Strawberries",,,,
Homestead Orchard,,,,,,"U-Pick Farm, Orchard","Apples, Cherries, Pears",,,,
Honey Hill Orchard,,,,,,"U-Pick Farm, Orchard","Apples, Pumpkins, Raspberries",,,,
Honeys Blueberry Farm,4333 Kingston hwy,Loudon,TN,37774,"4333 Kingston hwy, Loudon, TN 37774","U-Pick Farm, Orchard","Blackberries, Blueberries, Muscadines",,,,
Honeysuckle Hill Farm,1765 Martins Chapel Church Rd.,Springfield,TN,,"1765 Martins Chapel Church Rd., Springfield, Tennessee 37172","U-Pick Farm, Orchard","Apples, Pumpkins",,,,
Hood River U-Pick,4320 Royal Anne Dr.,Hood River,OR,,"4320 Royal Anne Dr., Hood River, Oregon 97031","U-Pick Farm, Orchard","Apples, Blueberries, Cherries, Flowers, Garlic, Raspberries, Tomatoes",,,,
Hooper’s Orchard,856 Back Brooks Rd,Monroe,ME,04951,"856 Back Brooks Rd, Monroe, ME 04951","U-Pick Farm, Orchard","Apples, Peaches, Pears",,,,
Hope Fruit & Berry Farm,,,,,,"U-Pick Farm, Orchard","Blackberries, Blueberries, Muscadines, Peaches",,,,
Hope Orchard,434 Camden Road,Hope,ME,,"434 Camden Road, Hope, Maine 04847","U-Pick Farm, Orchard","Apples, Pears",,,,
Hoxsie’s Farm Market,6620 M-72 East,Williamsburg,MI,,"6620 M-72 East, Williamsburg, Michigan 49690","U-Pick Farm, Orchard","Apples, Pumpkins",,,,
Hungry Mother Organics,3190 Hwy 395,Minden,NV,,"3190 Hwy 395, Minden, Nevada 89423","U-Pick Farm, Orchard","Flowers, Herbs, Peppers, Strawberries, Tomatoes",,,,
Hunt’s Berry Farm,760 Saint Clair Cemetery Ln,Big Spring,KY,40175,"760 Saint Clair Cemetery Ln, Big Spring, KY 40175","Honey BeesU-Pick Farm, Orchard",Blueberries,,,,
Impossible Acres,26565 Rd 97D,Davis,CA,,"26565 Rd 97D, Davis, California 95616","U-Pick Farm, Orchard","Apples, Apricots, Blackberries, Boysenberries, Cherries, Peaches, Pumpkins, Raspberries, Tomatoes",,,,
Indian Ladder Farms,,,,,,"U-Pick Farm, Orchard","Apples, Blueberries, Pumpkins, Raspberries, Strawberries",,,,
Innisfree Fruit Farm,2309 Riley Road,Ottawa,KS,,"2309 Riley Road, Ottawa, Kansas 66067","U-Pick Farm, Orchard","Blueberries, Raspberries, Strawberries",,,,
Iowa Orchard,9875 Meredith Dr,Urbandale,IA,,"9875 Meredith Dr, Urbandale, Iowa 50322","U-Pick Farm, Orchard","Apples, Blueberries, Peaches, Raspberries",,,,
Iverson Family Farm,8580 Valley Line Road,Oconto Falls,WI,54154,"8580 Valley Line Road, Oconto Falls, WI 54154",,"Apples, Cherries, Pears, Plums",,,,
Jacketts Pumpkins,19733 State Highway 220,Casper,WY,,"19733 State Highway 220, Casper, Wyoming 82604","U-Pick Farm, Orchard",Pumpkins,,,,
Jacobs Corn Maze,7100 East Traverse Hwy (M-72 West),Traverse City,,,"7100 East Traverse Hwy (M-72 West), Traverse City,  49684","U-Pick Farm, Orchard","Juneberries, Pumpkins, Raspberries, Saskatoons, Strawberries",,,,
Jacobs Family Berry Farm,1335 Centerville Lane,Gardnerville,NV,,"1335 Centerville Lane, Gardnerville, Nevada 89410",Pre-Picked Only,Ready Picked Only,,,,
Jaemor Farms,5340 Cornelia Hwy,Alto,GA,,"5340 Cornelia Hwy, Alto, Georgia 30510","U-Pick Farm, Orchard","Apples, Peaches, Pumpkins, Strawberries",,,,
Jaswell’s Farm,50 Swan Road,Smithfield,RI,,"50 Swan Road, Smithfield, Rhode Island 02917","U-Pick Farm, Orchard",Apples,,,,
Jeff & Laurie Bellmore,,,,,,"U-Pick Farm, Orchard",Blueberries,,,,
Jenkins – Lueken Orchards,,,,,,"U-Pick Farm, Orchard","Apples, Blackberries, Pumpkins, Raspberries",,,,
Jenschke Orchards,8301 East Us Hwy 290,Frederickburg,TX,,"8301 East Us Hwy 290, Frederickburg, Texas 78624","U-Pick Farm, Orchard","Blackberries, Peaches, Plums, Tomatoes",,,,
JG Ranch,17200 Wiscon Road,Brooksville,FL,,"17200 Wiscon Road, Brooksville, Florida 34601","U-Pick Farm, Orchard","Blackberries, Blueberries, Strawberries",,,,
Joan & Brad’s Berry Farm,447 Deerwander Road,Hollis,,,"447 Deerwander Road, Hollis, 1017 04042","U-Pick Farm, Orchard",Blueberries,,,,
Joe Huber’s Farm,2421 Scottsville Rd.,Starlight,IN,,"2421 Scottsville Rd., Starlight, Indiana 47106","U-Pick Farm, Orchard","Apples, Pumpkins, Strawberries",,,,
Johnson Corner Farm,133 Church Rd,Medford,NJ,,"133 Church Rd, Medford, New Jersey 08055","U-Pick Farm, Orchard","Blueberries, Corn, Peaches, Peas, Strawberries",,,,
Johnson Orchards,4906 Summitview Ave,Yakima,WA,,"4906 Summitview Ave, Yakima, Washington 98908","U-Pick Farm, Orchard","Apples, Cherries, Nectarines, Peaches, Pears, Plums",,,,
Johnson’s Farm Produce,8960 E Ridge Rd,Hobart,IN,,"8960 E Ridge Rd, Hobart, Indiana 46342","U-Pick Farm, Orchard","Blueberries, Raspberries, Strawberries",,,,
Jollay Orchards Farm,1850 Friday Road,Coloma,MI,,"1850 Friday Road, Coloma, Michigan 49038","U-Pick Farm, Orchard","Apples, Cherries, Peaches, Pumpkins",,,,
Jones Creek Farms,32260 Burrese Rd,Sedro Woolley,WA,98284,"32260 Burrese Rd, Sedro Woolley, WA 98284","U-Pick Farm, Orchard","Apples, Peaches, Pears, Plums, Pumpkins",,,,
Jones Family Farm,2107 Philadelphia Rd.,Edgewood,MD,,"2107 Philadelphia Rd., Edgewood, Maryland 21040","U-Pick Farm, Orchard","Pumpkins, Strawberries",,,,
Jones Family Farms,606 Walnut Tree Hill Rd,Shelton,CT,,"606 Walnut Tree Hill Rd, Shelton, Connecticut 06484","U-Pick Farm, Orchard","Blueberries, Pumpkins, Strawberries",,,,
Jones Orchard & Market,7170 Highway 51 North,Millington,TN,,"7170 Highway 51 North, Millington, Tennessee 38053","U-Pick Farm, Orchard","Apples, Blackberries, Blueberries, Nectarines, Peaches, Pears, Plums, Pumpkins, Strawberries",,,,
Jubilee Orchards Organic,12008 Miccosukee Rd,Tallahassee,FL,32309,"12008 Miccosukee Rd, Tallahassee, FL 32309","U-Pick Farm, Orchard",Blueberries,,,12008 miles,
Justus Orchard,187 Garren Rd,Hendersonville,NC,28792,"187 Garren Rd, Hendersonville , NC 28792","U-Pick Farm, Orchard","Apples, Blackberries",,,,
Kaye Family Farms,,,,,,"U-Pick Farm, Orchard",Lychees,,,,
Keith’s Farm,429 Main St.,Acushnet,MA,,"429 Main St., Acushnet, Massachusetts 02743","U-Pick Farm, Orchard","Apples, Pumpkins, Raspberries, Strawberries",,,,
Kelley Orchards,53 Hill Road,Weiser,ID,,"53 Hill Road, Weiser, Idaho 83672","U-Pick Farm, Orchard","Apples, Cherries, Nectarines, Peaches, Pears, Plums, Tomatoes",,,,
Kelley’s Berry Farm – Niota,352 Hwy 309,Niota,TN,37826,"352 Hwy 309, Niota, TN 37826","U-Pick Farm, Orchard","Blackberries, Blueberries",,,,
Kelly Orchards,82 Sanborn Rd.,Acton,ME,04001,"82 Sanborn Rd., Acton, ME 04001","U-Pick Farm, Orchard","Apples, Peaches, Pumpkins",,,,
Kenny’s Strawberry Farm,953 Rainbow Valley Blvd,Fallbrook,CA,,"953 Rainbow Valley Blvd, Fallbrook, California 92028","U-Pick Farm, Orchard","Pumpkins, Strawberries, Vegetables, Watermelons",,,,
Kimmel Orchard & Vineyard,5995 G Rd,Nebraska City,NE,,"5995 G Rd, Nebraska City, 1025 68410","U-Pick Farm, Orchard","Apples, Blackberries, Cherries, Peaches, Pears, Pumpkins, Strawberries",,,,
King Grove Organic Farm,19714 County Road 44A,Eustis,FL,32736,"19714 County Road 44A, Eustis, FL 32736","U-Pick Farm, Orchard",Blueberries,,,,
King Orchard,,,,,,"U-Pick Farm, Orchard","Apples, Apricots, Cherries, Nectarines, Peaches, Raspberries",,,,
King’s Farm Market,2559 Highway 174,Edisto Island,SC,,"2559 Highway 174, Edisto Island, South Carolina 29438","U-Pick Farm, Orchard","Peaches, Vegetables",,,,
Kirschbaum’s Strawberry Acres,5802 US Highway 151,Beaver Dam,WI,,"5802 US Highway 151, Beaver Dam, Wisconsin 53916","U-Pick Farm, Orchard",Strawberries,,,,
Kiyokawa Family Orchards,8129 Clear Creek Road,Mt. Hood/Parkdale,OR,97041,"8129 Clear Creek Road, Mt. Hood/Parkdale, OR 97041","U-Pick Farm, Orchard","Apples, Blueberries, Cherries, Currants, Peaches, Pears, Rhubarb",,,,
Knaus Berry Farm,15980 SW 248th Street,Homestead,FL,,"15980 SW 248th Street, Homestead, Florida 33031","U-Pick Farm, Orchard","Strawberries, Tomatoes",,,,
Knutson’s Country Harvest,,,,,,"U-Pick Farm, Orchard","Apples, Blackberries, Blueberries, Peaches, Pears, Raspberries",,,,
Koltiska’s Pumpkin Patch,120 Cat Creek Rd,Sheridan,WY,,"120 Cat Creek Rd, Sheridan, Wyoming 82801","U-Pick Farm, Orchard",Pumpkins,,,,
Krasinski’s U-Pick Blueberries,3163 Rolling Stone Rd,Morrisdale,PA,,"3163 Rolling Stone Rd, Morrisdale, Pennsylvania 16858","U-Pick Farm, Orchard",Blueberries,,,,
Krueger’s Vegetable Farm Stand,28572 W. IL Route 120,Lakemoor,IL,60051,"28572 W. IL Route 120, Lakemoor, IL 60051",Pre-Picked Only,"Green Beans, Tomatoes",,,,
Kuipers Family Farm,,,,,,"U-Pick Farm, Orchard","Apples, Pumpkins",,,,
Kula Country Farms,375 Koheo Rd,Kula,HI,,"375 Koheo Rd, Kula, Hawaii 96790","U-Pick Farm, Orchard","Pumpkins, Strawberries",,,,
L & M Farm,7170 County Road 321,Jewett,TX,75846,"7170 County Road 321, Jewett, TX 75846","U-Pick Farm, Orchard",Blackberries,,,,
Lakeview Berry Farm,1746 Bergen Road,Mosinee,WI,,"1746 Bergen Road, Mosinee, Wisconsin 54455","U-Pick Farm, Orchard","Blueberries, Currants, Gooseberries, Raspberries, Rhubarb, Strawberries",,,,
Lakeview Farms,8265 Mexico Road,St. Peters,MO,,"8265 Mexico Road, St. Peters, Missouri 63376","U-Pick Farm, Orchard","Raspberries, Strawberries",,,,
Landess Farm,60000 W County Road 700 S,Daleville,IN,,"60000 W County Road 700 S, Daleville, Indiana 47334","U-Pick Farm, Orchard","Pumpkins, Strawberries",,,,
Landry-Poche Farms,29955 Richardson Drive,Holden,LA,,"29955 Richardson Drive, Holden, Louisiana 70744","U-Pick Farm, Orchard",Strawberries,,,,
Lang’s Orchard,17411 Secor Rd.,Woodstock,IL,60098,"17411 Secor Rd., Woodstock, IL 60098","U-Pick Farm, Orchard",Apples,,,,
Larken Farms,3653 Greathouse Rd,Waxahachie,TX,,"3653 Greathouse Rd, Waxahachie, Texas 75167","U-Pick Farm, Orchard","Blackberries, Peaches, Pears, Plums",,,,
Last Resort Farm,2246 Tyler Bridge Rd,Monkton,VT,,"2246 Tyler Bridge Rd, Monkton, Vermont 05443","U-Pick Farm, Orchard","Currants, Strawberries",,,,
Late Bloom Blueberry Farm,115 Scenic Hwy,Haines City,FL,33844,"115 Scenic Hwy, Haines City, FL 33844","U-Pick Farm, Orchard",Blueberries,,,,
Lattin Farms,1955 McLean Road,Fallon,NV,,"1955 McLean Road, Fallon, Nevada 89406","U-Pick Farm, Orchard",Pumpkins,,,,
Lautenbach’s Orchard Country Winery & Market,9197 Hwy 42,Fish Creek,,,"9197 Hwy 42, Fish Creek,  54212","U-Pick Farm, Orchard","Apples, Cherries",,,,
Lavoie’s Farm,172 Nartoff Road,Hollis,NH,,"172 Nartoff Road, Hollis, New Hampshire 03049","U-Pick Farm, Orchard","Apples, Blueberries, Pumpkins, Strawberries",,,,
Lawrence Farms Orchards,,,,,,"U-Pick Farm, Orchard","Apples, Apricots, Cherries, Currants, Grapes, Peaches, Pears, Peas, Plums, Raspberries, Strawberries",,,,
Lazy U Farm,5608 Elon Rd,Macon,MS,,"5608 Elon Rd, Macon, Mississippi 39341","U-Pick Farm, Orchard",Pumpkins,,,,
Ledgeview Gardens LLC,5291 Cottonwood Ln,De Pere,WI,54115,"5291 Cottonwood Ln, De Pere, WI 54115",Pre-Picked Only,,,,,
Lee Turkey Farm,201 Hickory Corner Rd,East Windsor,NJ,,"201 Hickory Corner Rd, East Windsor, New Jersey 08520","U-Pick Farm, Orchard","Apples, Blackberries, Cherries, Melons, Nectarines, Peaches, Pears, Raspberries, Strawberries",,,,
Lee Vineyard,10251 McIntosh Road,Dover,FL,33527,"10251 McIntosh Road, Dover, FL 33527","U-Pick Farm, Orchard","Chestnuts, Loganberries, Lychees, Muscadines, Pears, Persimmons",,,,
Lehman’s Orchard,2280 Portage Road,Niles,MI,,"2280 Portage Road, Niles, Michigan 49120","U-Pick Farm, Orchard","Apples, Blueberries, Cherries, Peaches, Pears, Raspberries, Strawberries",,,,
Lewin Farms,,,,,,"U-Pick Farm, Orchard","Apples, Blackberries, Blueberries, Eggplant, Peaches, Peppers, Pumpkins, Strawberries, Tomatoes",,,,
Libby & Son U-Picks,86 Sawyer Mt. Rd.,Limerick,ME,,"86 Sawyer Mt. Rd., Limerick, Maine 04048","U-Pick Farm, Orchard","Apples, Blueberries, Peaches, Raspberries",,,,
Lilys Upick Farm,1633 Duncan Reidville Rd,Duncan,SC,29334,"1633 Duncan Reidville Rd, Duncan, SC 29334","Farm MarketU-Pick Farm, Orchard","Figs, Muscadines, Peaches, Pears, Persimmons, Plums",,,,
Little River Flower Farm,160 Turkey Lane,Buxton,ME,04093,"160 Turkey Lane, Buxton, ME 04093","U-Pick Farm, Orchard",Blueberries,,,,
Liuzza Land & Berry Barn,,,,,,"U-Pick Farm, Orchard","Pumpkins, Strawberries",,,,
Livesay Orchards,39232 East 231st St. South,Porter,OK,,"39232 East 231st St. South, Porter, Oklahoma 74454","U-Pick Farm, Orchard","Apples, Peaches, Pumpkins",,,,
Loblolly Acres,3893 Turkey Point Road,Woodside,DE,,"3893 Turkey Point Road, Woodside, Delaware 19980","U-Pick Farm, Orchard",Strawberries,,,,
Loblolly Ridge Farm,1000 Andrew Bankson Road,Amite,LA,,"1000 Andrew Bankson Road, Amite, Louisiana 70422","U-Pick Farm, Orchard",Blueberries,,,,
Lockbriar Farms,10051 Worton Rd,,MD,,"10051 Worton Rd, , Maryland 21620","U-Pick Farm, Orchard","Apricots, Blackberries, Blueberries, Nectarines, Peaches, Pumpkins, Raspberries, Strawberries",,,,
Long Pumpkin Patch,163 NE 30 Rd,Great Bend,KS,,"163 NE 30 Rd, Great Bend, Kansas 67530","U-Pick Farm, Orchard",Pumpkins,,,,
Lost Branch Blueberry Farm,21507 Lost Branch Way,Brashear,MO,,"21507 Lost Branch Way, Brashear, Missouri 63533","U-Pick Farm, Orchard",Blueberries,,,,
Louisiana Herbs,276 Breston Lane,Riverton,LA,,"276 Breston Lane, Riverton, Louisiana 71418","U-Pick Farm, Orchard","Herbs, Pecans",,,,
Love Creek Orchards,14024 State Highway 16 N,Medina,TX,,"14024 State Highway 16 N, Medina, Texas 78055","U-Pick Farm, Orchard","Apples, Blackberries, Figs, Peaches, Persimmons",,,,
Lungren Girls Farm,1372 S Flat Rd,Worland,WY,,"1372 S Flat Rd, Worland, Wyoming 82401","U-Pick Farm, Orchard",Pumpkins,,,,
LushAcres Farm,1875 W. Maple Street Extension,Clinton,SC,29325,"1875 W. Maple Street Extension, Clinton, SC, SC 29325","Christmas TreesCorn MazeFarm MarketFestivalHoney BeesPetting ZooPicnic AreaPlaygroundSchool Field TripsU-Pick Farm, Orchard","Blackberries, Blueberries, Flowers, Pumpkins, Strawberries",,,,
Lutz Family Farm,1477 Highway T,Marshall,WI,,"1477 Highway T, Marshall, Wisconsin 53559","U-Pick Farm, Orchard","Peas, Strawberries",,,,
Lyman Orchards,32 Reeds Gap Rd,Middlefield,CT,,"32 Reeds Gap Rd, Middlefield, Connecticut 06455","U-Pick Farm, Orchard","Apples, Blueberries, Jostaberries, Nectarines, Peaches, Pears, Raspberries, Strawberries",,,,
Lynd Fruit Farm,9090 Morse Rd SW,Pataskala,OH,,"9090 Morse Rd SW, Pataskala, Ohio 43062","U-Pick Farm, Orchard","Apples, Pumpkins",,,,
Mack’s Apples,230 Mammoth Road,Londonderry,NH,,"230 Mammoth Road, Londonderry, New Hampshire 03053","U-Pick Farm, Orchard","Apples, Pumpkins",,,,
Mackintosh Fruit Farm,1608 Russell Rd,Berryville,VA,,"1608 Russell Rd, Berryville, Virginia 22611","U-Pick Farm, Orchard","Apples, Peaches",,,,
Mad Tom Orchard,2615 Mad Tom Road,East Dorset,VT,,"2615 Mad Tom Road, East Dorset, Vermont 05253","U-Pick Farm, Orchard","Apples, Raspberries",,,,
Magee Farms,34857 Lighthouse Rd,Selbyville,DE,,"34857 Lighthouse Rd, Selbyville, Delaware 19975","U-Pick Farm, Orchard",Strawberries,,,,
Malek’s Berry Ranch,,,,,,"U-Pick Farm, Orchard","Blueberries, Raspberries, Strawberries",,,,
Maple Creek Berry Farm,,,,,,"U-Pick Farm, Orchard",Blueberries,,,,
Maple Lawn Farms,2885 New Park Rd,New Park,PA,,"2885 New Park Rd, New Park, Pennsylvania 17352","U-Pick Farm, Orchard","Apples, Apricots, Blueberries, Cherries, Peaches, Pumpkins",,,,
Marburger Orchard,559 Kuhlmann Rd,Frederickburg,TX,,"559 Kuhlmann Rd, Frederickburg, Texas 78624","U-Pick Farm, Orchard","Blackberries, Peaches, Strawberries",,,,
Masker Orchards,,,,,,"U-Pick Farm, Orchard",Apples,,,,
Matt Family Orchard,21110 Bauer Hockley Road,Tomball,TX,,"21110 Bauer Hockley Road, Tomball, Texas 77377","U-Pick Farm, Orchard","Blackberries, Blueberries, Dates, Figs, Pears, Persimmons, Pumpkins",,,,
Maxwells Farm,527 Ocean House Rd.,Cape Elizabeth,ME,,"527 Ocean House Rd., Cape Elizabeth, Maine 04107","U-Pick Farm, Orchard",Strawberries,,,,
McBride Briar Patch,,,,,,"U-Pick Farm, Orchard","Blackberries, Raspberries",,,,
McCann Berry Farm,,,,,,"U-Pick Farm, Orchard",Peas,,,,
McCartney Orchard,2537 Hillandale rd,Sodus,MI,49126,"2537 Hillandale rd, Sodus, MI 49126","U-Pick Farm, Orchard",Squash,,,,
McClure’s Orchard,,,,,,"U-Pick Farm, Orchard",Apples,,,,
McCraw Farms,7299 County Road 15,Maplesbille,AL,,"7299 County Road 15, Maplesbille, Alabama 36750","U-Pick Farm, Orchard","Blackberries, Figs, Nectarines, Peaches, Plums",,,,
